id	Euryarchaeota	Thermoplasmatota	Planctomycetota	Elusimicrobiota	Patescibacteria	Verrucomicrobiota	Cyanobacteria	Chloroflexi	Synergistota	Fibrobacterota	Armatimonadota	Deinococcota	Actinobacteriota	Desulfobacterota	d__Bacteria Kingdom	Campylobacterota	Proteobacteria	WPS-2	Firmicutes	Bdellovibrionota	Fusobacteriota	Bacteroidota	Spirochaetota
19LIB028-19MET503	240	82	124	0	0	10	10	0	9	76	0	0	163	11	0	18	266	0	12034	0	0	18658	1267
19LIB028-19MET504	0	0	14	13	132	88	264	0	8	1070	0	0	40	16	0	10	7468	0	9800	0	0	17911	528
19LIB028-19MET505	217	8	39	0	5	73	163	0	21	750	0	0	84	63	0	13	299	0	9861	0	0	16193	682
19LIB028-19MET508	0	0	0	0	0	0	251	0	0	459	0	0	19	21	0	6	17	0	8123	0	0	26044	719
19LIB028-19MET516	0	0	34	0	0	305	477	0	7	314	0	0	10	58	0	40	1126	0	11306	0	0	10674	932
19LIB028-19MET523	12	16	15	11	125	247	229	0	20	1435	0	0	107	25	0	22	794	0	8384	0	0	14989	2316
19LIB028-19MET525	18	15	22	14	206	243	54	0	16	2325	0	0	0	52	0	36	986	0	7502	0	0	17128	1337
19LIB028-19MET526	41	11	0	0	0	0	0	0	0	0	0	0	291	393	0	7	4441	0	5936	0	0	1417	0
19LIB028-19MET527	45	13	8	0	53	20	21	0	13	205	0	0	130	136	0	7	8285	0	10284	0	0	15401	593
19LIB028-19MET497	0	49	32	72	27	916	420	27	7	2309	0	0	30	36	0	0	608	0	8729	0	0	14101	1522
19LIB028-19MET506	0	8	46	49	69	729	466	16	10	410	0	0	109	88	21	13	162	0	7203	0	0	14607	1311
19LIB028-19MET509	0	26	7	4	54	68	169	0	17	632	0	0	7	0	0	0	1134	0	7446	0	0	12879	812
19LIB028-19MET513	0	99	25	0	7	166	14	34	13	38	0	0	38	50	16	7	3032	0	11298	0	0	19744	961
19LIB028-19MET514	0	100	30	29	67	929	224	33	31	1536	0	0	169	140	32	25	338	0	6911	0	0	27676	881
19LIB028-19MET519	0	33	22	8	121	1751	230	17	7	1934	0	0	15	11	0	19	601	0	8965	0	0	20338	1105
19LIB028-19MET521	0	17	37	7	114	629	322	0	26	2776	0	0	32	8	5	26	1494	0	10398	0	0	20040	1003
19LIB028-19MET522	0	53	12	44	35	921	213	138	26	2128	0	0	67	36	6	19	2575	0	8844	0	0	21782	1259
19LIB028-19MET524	0	89	11	0	4	1565	90	19	6	1668	0	0	111	0	7	8	212	0	7711	0	0	22677	1168
19LIB028-19MET502	0	0	17	0	2	28	205	0	0	33	0	2	0	74	0	3	896	0	9554	0	0	8192	767
19LIB028-19MET510	0	13	0	0	0	133	54	0	0	913	0	0	0	102	0	12	8507	0	6267	0	0	14661	470
19LIB028-19MET511	0	49	17	0	6	97	85	21	10	2737	0	0	13	5	0	13	8228	0	8482	0	0	18016	1354
19LIB028-19MET512	0	24	75	0	0	612	143	0	10	841	0	5	17	53	0	0	271	0	9405	0	0	22620	581
19LIB028-19MET517	0	16	43	0	0	264	489	29	45	240	0	19	224	88	0	22	5229	0	8609	0	0	11836	536
19LIB028-19MET518	0	0	43	0	4	359	179	22	12	267	0	5	107	64	0	14	6214	0	10443	0	0	16578	852
19LIB028-19MET520	0	0	0	0	3	0	0	0	10	0	0	0	24	305	0	70	2092	0	1868	0	0	2159	0
19LIB028-19MET528	0	32	33	0	19	1360	396	20	36	528	0	5	39	78	0	35	530	0	8622	0	0	13601	1243
19LIB028-19MET529	0	47	10	0	0	405	352	24	16	731	0	0	298	22	0	9	791	0	10391	0	0	15843	2166
