id	Euryarchaeota	Thermoplasmatota	Planctomycetota	Elusimicrobiota	Patescibacteria	Verrucomicrobiota	Cyanobacteria	Chloroflexi	Synergistota	Fibrobacterota	Armatimonadota	Deinococcota	Actinobacteriota	Desulfobacterota	d__Bacteria Kingdom	Campylobacterota	Proteobacteria	WPS-2	Firmicutes	Bdellovibrionota	Fusobacteriota	Bacteroidota	Spirochaetota
19LIB028-19MET448	0	116	20	0	0	275	0	0	41	438	0	0	14	298	0	0	3432	0	3753	0	471	11765	401
19LIB028-19MET450	101	138	193	0	905	1504	34	0	42	253	4	0	16	277	0	127	884	0	8137	94	134	13914	646
19LIB028-19MET451	79	70	60	0	0	172	96	0	11	181	8	0	13	727	0	16	4895	0	9084	0	54	15180	1563
19LIB028-19MET459	0	0	21	0	14	114	5	0	34	191	10	0	8	513	0	13	534	0	4291	45	14	13345	359
19LIB028-19MET464	0	10	0	0	0	494	0	0	22	237	0	0	0	878	0	482	5679	0	5861	0	718	17280	649
19LIB028-19MET467	0	59	17	57	602	162	0	0	23	166	0	0	13	113	0	16	1711	0	7526	17	12	11761	333
19LIB028-19MET469	0	128	48	10	6	1162	69	0	0	86	0	0	21	296	0	189	4648	0	6812	0	22	11139	388
19LIB028-19MET470	0	75	17	52	47	80	0	0	17	434	0	0	135	252	0	95	592	0	6867	0	44	20771	510
19LIB028-19MET471	63	130	60	0	12	285	65	0	15	643	0	0	0	130	0	511	708	0	7710	7	145	15142	994
19LIB028-19MET452	94	23	85	0	0	88	18	16	77	327	0	0	15	224	0	137	3915	0	6653	0	19	20892	399
19LIB028-19MET453	0	21	106	0	0	112	11	0	371	154	0	0	4	135	0	93	1782	0	5262	68	75	10335	468
19LIB028-19MET457	0	31	12	0	0	113	43	0	21	923	0	0	0	129	0	33	1403	0	4855	0	21	12315	151
19LIB028-19MET458	0	65	35	0	0	141	0	0	12	192	0	0	0	273	0	20	292	0	4265	15	31	9415	290
19LIB028-19MET462	0	0	8	0	0	0	0	17	0	0	0	0	0	35	0	383	361	0	3384	0	20	3616	19
19LIB028-19MET465	86	325	145	0	0	2251	0	0	12	868	0	0	39	139	0	108	1197	0	9405	0	72	14672	1124
19LIB028-19MET466	65	154	20	0	0	299	0	17	31	263	0	0	4	165	0	94	2890	0	9576	0	70	17044	487
19LIB028-19MET468	54	161	8	0	0	164	0	0	12	1002	0	0	5	244	0	21	703	0	7659	19	18	11368	698
19LIB028-19MET447	0	21	32	7	0	223	0	0	70	141	0	0	9	444	0	30	3694	0	7957	0	152	13117	71
19LIB028-19MET454	0	20	49	24	0	239	231	0	38	1094	0	0	10	1035	0	174	983	0	7156	0	53	19916	676
19LIB028-19MET455	0	0	0	0	0	0	0	0	0	0	0	0	37	579	0	27	704	0	12952	0	16	2256	0
19LIB028-19MET456	0	0	0	44	0	0	0	0	12	3032	0	0	6	1022	0	486	1591	0	7647	0	53	13723	1998
19LIB028-19MET460	0	35	12	10	0	17	0	0	26	9	0	0	0	389	0	163	477	0	9627	0	38	7680	173
19LIB028-19MET461	0	31	78	0	0	529	213	0	18	117	0	0	20	595	0	78	2562	0	5454	0	0	14252	169
19LIB028-19MET463	0	81	66	0	0	21	0	0	29	417	0	0	24	782	0	0	6694	0	8629	0	16	16993	2719
19LIB028-19MET472	0	33	32	0	0	126	80	0	36	173	0	0	65	705	0	96	2861	0	12452	0	28	18042	327
19LIB028-19MET473	0	13	0	31	0	145	0	0	22	164	0	0	15	1848	0	328	2402	0	8437	0	39	18345	395
