id	Euryarchaeota	Thermoplasmatota	Planctomycetota	Elusimicrobiota	Patescibacteria	Verrucomicrobiota	Cyanobacteria	Chloroflexi	Synergistota	Fibrobacterota	Armatimonadota	Deinococcota	Actinobacteriota	Desulfobacterota	d__Bacteria Kingdom	Campylobacterota	Proteobacteria	WPS-2	Firmicutes	Bdellovibrionota	Fusobacteriota	Bacteroidota	Spirochaetota
19LIB028-19MET475	0	0	0	0	0	0	0	0	10	11	0	0	5	18	0	35	2084	0	4892	0	419	3165	5
19LIB028-19MET477	110	125	79	147	767	276	82	0	17	869	8	0	0	88	0	22	401	5	9831	0	0	9906	354
19LIB028-19MET478	76	57	0	129	394	236	341	20	10	338	0	0	31	50	0	19	2064	0	6825	0	10	6951	242
19LIB028-19MET486	140	23	6	82	659	82	0	0	14	448	0	0	11	33	0	0	5109	8	7429	0	0	9849	265
19LIB028-19MET491	0	27	0	0	1037	0	85	0	8	1642	0	0	95	10	0	0	3597	0	9199	0	703	17984	235
19LIB028-19MET494	0	18	0	47	693	114	334	0	12	426	4	0	0	50	0	19	6409	0	9998	0	8	10644	236
19LIB028-19MET496	0	49	14	39	394	100	87	22	12	478	4	0	20	34	0	12	10820	8	7511	0	36	13016	429
19LIB028-19MET498	0	29	6	60	537	194	182	30	15	439	0	0	8	73	0	11	3613	0	7271	0	4	11110	197
19LIB028-19MET499	62	18	0	9	244	7	16	0	5	209	0	0	10	29	0	28	4461	0	6916	0	8	21173	46
19LIB028-19MET476	107	103	70	82	5	536	873	0	23	931	0	0	0	47	181	16	165	0	7028	72	0	11283	1030
19LIB028-19MET479	0	62	31	191	204	671	432	29	20	883	0	0	0	72	55	0	308	0	7893	0	0	9381	999
19LIB028-19MET480	10	47	0	25	604	378	56	0	13	393	0	0	0	34	21	11	4436	0	5820	36	0	7798	350
19LIB028-19MET484	0	46	13	0	171	123	61	0	18	156	0	0	0	16	0	30	2756	0	6400	0	0	11016	122
19LIB028-19MET485	0	68	37	15	39	614	325	37	17	0	0	0	441	30	0	18	1090	0	5912	0	0	17881	262
19LIB028-19MET489	0	13	27	30	0	329	304	0	17	1024	0	0	25	35	0	28	491	0	7325	0	0	26698	847
19LIB028-19MET492	120	115	68	27	314	428	186	36	13	760	0	0	0	49	0	34	1443	0	9971	0	0	13958	1128
19LIB028-19MET493	9	136	123	21	460	598	301	74	23	815	0	0	64	83	64	16	1624	0	10553	22	0	10994	725
19LIB028-19MET495	67	41	86	0	0	26	119	48	27	199	0	0	0	20	0	8	602	0	5635	0	0	11874	284
19LIB028-19MET474	0	107	0	0	0	0	6	0	24	504	0	0	0	102	0	11	5696	0	8853	0	3	12782	43
19LIB028-19MET481	0	74	35	0	6	407	44	0	6	344	0	0	5	468	0	6	1053	0	11616	0	0	22029	176
19LIB028-19MET482	0	0	0	0	0	0	0	0	0	0	0	0	0	627	0	0	987	0	11018	0	0	477	0
19LIB028-19MET483	0	18	27	0	9	551	0	9	28	0	0	0	0	172	0	10	1706	0	10499	0	0	11450	214
19LIB028-19MET487	0	38	71	0	11	232	36	0	0	307	0	0	0	153	0	9	3811	0	9554	0	0	13206	583
19LIB028-19MET488	0	10	11	0	0	266	13	0	0	624	0	0	7	226	0	13	7166	0	7341	0	15	28225	351
19LIB028-19MET490	0	61	21	0	0	453	373	32	22	95	0	0	0	25	0	40	10973	0	6963	0	10	20491	441
19LIB028-19MET500	0	31	25	0	0	467	125	26	27	85	0	0	8	36	0	17	6138	0	5537	0	0	13513	323
19LIB028-19MET501	0	18	8	0	173	163	71	19	20	118	0	0	0	143	0	25	1992	0	6955	0	8	4898	269
